keyword,count,platform
땅따리,1,naver
똥별보다는,1,naver
낫다!,1,naver
이걸로,1,naver
물고,1,naver
늘어지는,1,naver
졸렬한,1,naver
김병주,3,naver
병주야..너라면,1,naver
총리시켜준다면,1,naver
넙죽,1,naver
받아먹었겠지만,1,naver
정치인이,1,naver
자기,1,naver
신념과,1,naver
다르면,1,naver
아무리,1,naver
좋은것도,1,naver
거절할줄,1,naver
알아야,1,naver
되는거야...,1,naver
국무총리,1,naver
자리,1,naver
거절하는게,1,naver
쉬워,1,naver
보이냐?,1,naver
경기지사,1,naver
한번,1,naver
해보겠다고,1,naver
그짧은,1,naver
팔다리로,1,naver
아둥바둥,1,naver
거리잖아,1,naver
ㅉㅉㅉ,1,naver
병주야,1,naver
참아라.,1,naver
유승민도,1,naver
"제안받았는데,",1,naver
제안한적없다!,1,naver
라고하니까,1,naver
밝힌거잖아.,1,naver
쪽팔리게,1,naver
굴지말자,1,naver
별것도아니다,1,naver
총리,4,naver
제안이,1,naver
사실이었네....아니라고,1,naver
하더니.....입만열면,1,naver
거짓말,3,naver
빙주가,1,naver
어떻게,2,naver
별4개,1,naver
달았는지,1,naver
지금도,1,naver
불가사리여.,1,naver
사의?,1,naver
똥별은,1,naver
"달은거야,",1,naver
아부근성으로,1,naver
딱그렇게,1,naver
생겨ㅆ네,1,naver
정치도의를,1,naver
무시하긴했지.,1,naver
유승민의,1,naver
그릇의,1,naver
한계.,1,naver
다음에,1,naver
누가,1,naver
유승민에게,1,naver
무슨말을,1,naver
하겠는가?,1,naver
이것으로,1,naver
유승민은,1,naver
유승민,5,naver
저사람,1,naver
절대,1,naver
안된다,1,naver
관상봐라,1,naver
이가,1,naver
이재명,1,naver
정청래,1,naver
우원식,1,naver
김병기,1,naver
추미애.,1,naver
무능,2,naver
멍청한,1,naver
인간들,2,naver
보다,1,naver
백번,1,naver
낫긴,1,naver
하지,1,naver
보수,1,naver
의원들이,1,naver
스쳐만,1,naver
가도,1,naver
유능,1,naver
하니,1,naver
적극적,1,naver
영입하려하네,1,naver
대통령도,1,naver
마찬가지,1,naver
이야,2,naver
라도는,1,naver
사기꾼.,1,naver
멍청.,1,naver
인간들.,1,naver
많다보니,1,naver
경상도,1,naver
인물을,1,naver
대통으로,1,naver
계속.,1,naver
구해,1,naver
하잔아,1,naver
미숙한,1,naver
좌팔.,1,naver
촉새,1,naver
시켰더라도,1,naver
부정문제로,1,naver
온나라가,1,naver
뒤집힐뻔!,1,naver
대통령께선,1,naver
운도,1,naver
좋으셔!,1,naver
문제는,1,naver
입도,1,naver
뻥긋,1,naver
못하면서..너도,1,naver
그릇이,1,naver
작아..종재기,1,naver
수준이야..,1,naver
처음부터,1,naver
총리제안했는데,1,naver
거절당했다고,1,naver
발표했으면,1,naver
됐자나...찌질하게,1,naver
그런적,1,naver
없었다고,1,naver
하니까,2,naver
팩트를,1,naver
말한거자나...,1,naver
찌질한,1,naver
민주당과,1,naver
청와대...,1,naver
찌질하고졸렬한4성장군,1,naver
대통령?,1,naver
언놈이?ㅋㅋㅋ,1,naver
설마,1,naver
치졸하고,1,naver
찔찔짜는,1,naver
짜지리,1,naver
똥별보다,1,naver
났다.,1,naver
범죄자,1,naver
특별기에,1,naver
태우고오는짓보다는,1,naver
굿입니다요,1,naver
났을때,1,naver
청와대에서,1,naver
무대응,1,naver
했으면,1,naver
되는걸,1,naver
굳이,1,naver
그런적없다,1,naver
구리치니,1,naver
반박하지,1,naver
ㅋㅋ,1,naver
대통령이랑,1,naver
말이라도,1,naver
맞춰,1,naver
오던가.,1,naver
들키니,1,naver
민망해서,1,naver
그런가?,1,naver
개그하냐,1,naver
쪽팔리니까,1,naver
고상하게포장을하는군나,1,naver
계속,1,naver
연락한,1,naver
사람보고,1,naver
말하는거,1,naver
맞지,1,naver
",,,?",1,naver
대통형실에,1,naver
가짜로,1,naver
발표한건?,1,naver
찢넘이,1,naver
그런적없다고,1,naver
거짓말하니,1,naver
진실을,1,naver
말해야지,1,naver
nan,7,naver
당신이나,1,naver
하삼,1,naver
2017년국힘배신자,1,naver
1세대,1,naver
멤버.,1,naver
당신이,1,naver
어딜,1,naver
가든,1,naver
우린,1,naver
관심없다.,1,naver
당신,1,naver
때의,1,naver
국힘,1,naver
아니다.,1,naver
근처,1,naver
얼씬거릴,1,naver
생각하지마라.,1,naver
찌질,1,naver
ㅋㅋㅋㅋ,1,naver
시정,1,naver
잡배도,1,naver
승민이,1,naver
보다낫다,1,naver
깜도,1,naver
안되는게,1,naver
개가,1,naver
웃을일,1,naver
저런거에,1,naver
충성한,1,naver
쫄따구들이,1,naver
거시기하네,1,naver
아마,1,naver
윤석렬이,1,naver
너에게전화했다면??????,1,naver
안봐도,1,naver
비데오네~~,1,naver
찌질?,1,naver
민주야,2,naver
이혜훈,1,naver
나는데,1,naver
미쳤다고,1,naver
이죄명이,1,naver
전화,1,naver
받겠냐?,1,naver
하여튼,1,naver
이죄명과,1,naver
"더불어공산당,",1,naver
계략질,1,naver
하나,1,naver
만큼은,1,naver
해.,1,naver
통일교,1,naver
이재멍게이트,1,naver
특검실시해라..,1,naver
제안하고,1,naver
그런,1,naver
사실,1,naver
없다고,1,naver
잡아,1,naver
떼는,1,naver
놈은,1,naver
뭐냐?,1,naver
사기꾼?,1,naver
온잦비리가,1,naver
의심스러운,1,naver
양반이,1,naver
물을,1,naver
"흐리려고하네,...",1,naver
아니,1,naver
딸랑거리는걸까?,1,naver
우리나라,1,naver
역사상,1,naver
최악의,1,naver
장군...저런게,1,naver
별을,1,naver
달았다니...순국장병들이,1,naver
통탄할일이다.,1,naver
거절했으면,1,naver
넘어갈것이지,1,naver
그걸,1,naver
떠드나?,1,naver
그럼,2,naver
이제,1,naver
와서?,1,naver
몸값이,1,naver
이정도요--과시하려고.,1,naver
그래서,1,naver
그나마,1,naver
진정한,1,naver
보스는,1,naver
이네,1,naver
내란아니라고,1,naver
하면,1,naver
거품물고,1,naver
악지르는,1,naver
너가,1,naver
최악이다.,1,naver
겉으로,1,naver
확실하게,1,naver
의사표명을,1,naver
"안했더니,",1,naver
말이,1,naver
나와서,1,naver
해명한,1,naver
거잖아.,1,naver
그게,2,naver
자랑질인데?,1,naver
선거전이니,1,naver
도움이될까,1,naver
제안했겠지,1,naver
대단한거라고,1,naver
이제와서,1,naver
떠벌리는것도,1,naver
우습다,1,naver
이제는,1,naver
총리감리,1,naver
넘치는데,1,naver
굳이~~,1,naver
안했으니,1,naver
안했다고,1,naver
하는데,1,naver
문제있어,1,naver
그런일없다,1,naver
한건,1,naver
ㆍ꼬라지,1,naver
하고는,1,naver
4성장군이,1,naver
국군,1,naver
망신,1,naver
시키심.,1,naver
정치군인,1,naver
똥별,2,naver
설쳐,1,naver
즐라도,1,naver
냄새,1,naver
팍팍,1,naver
풍기는데,1,naver
~~~,1,naver
자중,1,naver
해라,1,naver
사실을,1,naver
사실대로,1,naver
얘기,1,naver
것을,1,naver
비나하는,1,naver
찌질이,1,naver
찌질하다고?,1,naver
제일,1,naver
비겁하고,1,naver
뒤도,1,naver
숨기고,1,naver
있는,1,naver
자는,1,naver
누구인가?,1,naver
지들끼리,1,naver
북치고,1,naver
장구치다,1,naver
본인이,1,naver
한마디,1,naver
찌질하단다,1,naver
관심받고싶어하는,1,naver
재명이가,1,naver
제시,1,naver
한것은,1,naver
없는,1,naver
같은데...그냥,1,naver
연락을,1,naver
취했다는,1,naver
뿐....승민이,1,naver
혼자,1,naver
상상하는,1,naver
같구만..,1,naver
이래서,2,youtube
배임죄,2,youtube
폐지하는구나ㅋ,1,youtube
50억,5,youtube
클럽들,1,youtube
다시,1,youtube
처벌,1,youtube
제대로,1,youtube
해라~!!,1,youtube
무슨,7,youtube
모범적,3,youtube
공익사업이야...,1,youtube
원주민들한테,1,youtube
삥듣은,1,youtube
사업이지..,1,youtube
원주민들,1,youtube
겁나,1,youtube
욕함,1,youtube
쥐를,2,youtube
잡자,1,youtube
잡자~^^,1,youtube
폐지,1,youtube
하려고?,1,youtube
ㅋㅋㅋㅋㅋㅋㅋ,2,youtube
나쁜넘들,1,youtube
사법부가,3,youtube
간만에,1,youtube
정상,1,youtube
판결햇네,1,youtube
말이,3,youtube
"되나,.,",1,youtube
그런,2,youtube
결정을,1,youtube
시장,1,youtube
결재도,1,youtube
없이..?,1,youtube
여태껏,1,youtube
공익은,2,youtube
한푼도,1,youtube
환수못하고,1,youtube
민간기업이,1,youtube
다가져갔는데,1,youtube
이런건,2,youtube
무슨죄일까?,1,youtube
감빵가라,1,youtube
공익사업이라도,1,youtube
불법,1,youtube
있다면,1,youtube
죄값을,1,youtube
받아야지,1,youtube
범죄,2,youtube
우두머리,4,youtube
빨랑,1,youtube
재판,10,youtube
받아라,3,youtube
사기꾼아,1,youtube
법앞에,1,youtube
그누구도,1,youtube
예외가,1,youtube
있어서는,1,youtube
안되,1,youtube
4달,1,youtube
대통령,4,youtube
맛보기,1,youtube
해봣으면,1,youtube
됫어,1,youtube
이재명,13,youtube
구속수사해라,1,youtube
판결해서,1,youtube
법정,1,youtube
구속하라,2,youtube
속행,1,youtube
하자.,1,youtube
어차피,1,youtube
총리도,1,youtube
똑같은,1,youtube
부류라,1,youtube
의미,1,youtube
없다만.,1,youtube
대장동,16,youtube
몸통은,3,youtube
윤석열,2,youtube
이라고,1,youtube
개풀뜯는,1,youtube
소리한,1,youtube
민주당이,2,youtube
조용할까?,1,youtube
윤석열이라며,1,youtube
ㅋㅋㅋㅋㅋ,4,youtube
깜빵,1,youtube
날이,2,youtube
얼마,2,youtube
안남았네,1,youtube
수괴를,1,youtube
잡아넣어라,2,youtube
드가자,1,youtube
ㅋㅋㅋ,7,youtube
역대,1,youtube
대한민국도시개발에서,1,youtube
개발과,1,youtube
비슷한,2,youtube
규모,1,youtube
이상의,1,youtube
개발에서,1,youtube
5천억원,1,youtube
이상,2,youtube
환수한,1,youtube
사례를,1,youtube
제시해봐라..,1,youtube
없다..부산,1,youtube
엘시티도,2,youtube
적자다..,1,youtube
뭐가,2,youtube
문재인건지,1,youtube
이재명확하쥬?,1,youtube
대한민국,2,youtube
최대라고한,1,youtube
ㅇㅈㅁ,1,youtube
괘씸죄로,1,youtube
강력처벌해야는거,1,youtube
아님?,1,youtube
잡범들의,1,youtube
놀이터,1,youtube
백현동....,1,youtube
언론과,1,youtube
법원의,1,youtube
컴비네이션,1,youtube
심리전,1,youtube
시작인가?,1,youtube
본인이,3,youtube
저거,2,youtube
말하면서도,1,youtube
쪼개고,1,youtube
있는거,1,youtube
나만,1,youtube
"소름이냐,,",1,youtube
공익사업,3,youtube
웃기는,1,youtube
개소리하지마라.너의,1,youtube
욕심많은,1,youtube
자금줄이었다!,1,youtube
아수라,1,youtube
ㅋㅋ,9,youtube
그당시,2,youtube
시장이,1,youtube
이들이,1,youtube
부당수익을,1,youtube
많이,1,youtube
가져,1,youtube
가는,2,youtube
것도,1,youtube
몰랐다면,1,youtube
직무유기로,1,youtube
지금이라도,1,youtube
수사를,1,youtube
받아야,1,youtube
한다,1,youtube
엘씨티는,2,youtube
거긴,1,youtube
이익이,2,youtube
아니라,1,youtube
적자엿딘메?,1,youtube
사기,1,youtube
단군이래,2,youtube
최대의,1,youtube
치적,1,youtube
미친....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,youtube
최후가,1,youtube
궁금하다.,1,youtube
어떻게,1,youtube
꼼수,1,youtube
부릴지,1,youtube
극형,1,youtube
아냐?,1,youtube
재맹의칼날:대장동마을편,1,youtube
개봉,1,youtube
ㄷㄷ,2,youtube
JTBC,1,youtube
MBC,2,youtube
아무말도,1,youtube
안함,1,youtube
민주당,2,youtube
민주노총,1,youtube
방송,2,youtube
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,youtube
재명이,4,youtube
탄핵안되게,1,youtube
지켜라,1,youtube
나가면,1,youtube
JTBC부터,1,youtube
부숴지니까,1,youtube
공익,4,youtube
사업을,3,youtube
빙자,1,youtube
도둑질,1,youtube
하기.,1,youtube
공익사업은,1,youtube
대법관,1,youtube
증원해서,1,youtube
무죄로,1,youtube
만들것임.,1,youtube
계엄이나,1,youtube
폭정이나,1,youtube
똑같음..,1,youtube
화난다,1,youtube
증말..대한민국이,1,youtube
어쩌다가,1,youtube
성남시,6,youtube
투자,1,youtube
5척억,1,youtube
이득은,1,youtube
공익이,1,youtube
아니다?,1,youtube
그럼,7,youtube
부산,3,youtube
"엘시티는?,",1,youtube
부산시는,1,youtube
1천억,1,youtube
투자해서,1,youtube
이익금,1,youtube
0원.,1,youtube
이건,1,youtube
뭔데?,1,youtube
재개해야지?,1,youtube
이번,1,youtube
판결,1,youtube
같이,2,youtube
받았으면,1,youtube
전과,1,youtube
6범이네,1,youtube
1찍들아~뭐하냐?,1,youtube
사법부의,1,youtube
앞으로,2,youtube
다가왔는데~빨리,1,youtube
사법부,3,youtube
없애라~,1,youtube
그리도,1,youtube
감이,1,youtube
떨어지냐?,1,youtube
대문,1,youtube
앞에,1,youtube
마중,1,youtube
나와있잖아~~허리업,1,youtube
×됐네.ㅋㅋㅋㅋㅋㅋㅋㅋ,1,youtube
한동훈이,1,youtube
옳았다.,1,youtube
찢은?,1,youtube
왠일로,1,youtube
1찍들,1,youtube
조용하네?,1,youtube
ㅎㅎ,1,youtube
아직도,2,youtube
지지를하는,1,youtube
자들은,1,youtube
공범이냐???,1,youtube
내생각엔,1,youtube
지금은,3,youtube
법원이하느님이다,1,youtube
헌법,2,youtube
개무시하고,1,youtube
내로남불인데,1,youtube
거꾸로,1,youtube
헌법소추로,1,youtube
안받고,1,youtube
보호받는게,1,youtube
왜케,1,youtube
웃기냐.,1,youtube
대장동같은,1,youtube
사업을하면,1,youtube
5천억,1,youtube
이상은,1,youtube
기본적으로,1,youtube
환수함..,1,youtube
그리고,1,youtube
대장동이,3,youtube
터지기전,1,youtube
자신의,2,youtube
최대치적이라구,1,youtube
선거에서,1,youtube
적극적으로,2,youtube
활용했는데,1,youtube
터진후,1,youtube
대장동에,2,youtube
아무런말도,1,youtube
못하구,1,youtube
국개의원선거,1,youtube
대통령선거에,1,youtube
활용못한,1,youtube
이유가,1,youtube
뭐냐구....,1,youtube
아무런,1,youtube
문제가없구,1,youtube
최대치적이면,1,youtube
국개의원,1,youtube
선거에도,2,youtube
활용했어야,1,youtube
정상아니여.....,1,youtube
대선,1,youtube
홍보물,1,youtube
어디에도,1,youtube
대해서,1,youtube
언급한것도,1,youtube
없다.,1,youtube
최대치적인데,1,youtube
대선에서,1,youtube
홍보안한,1,youtube
이유나,1,youtube
설명해봐....,1,youtube
주범,1,youtube
이죄명을,1,youtube
역시,1,youtube
이죄멍이,1,youtube
나쁜놈이었슴.,1,youtube
저건,1,youtube
이재명을,4,youtube
"지지하던,",1,youtube
반대하던.,2,youtube
성남시와,1,youtube
원주민들에겐,1,youtube
매우,1,youtube
손해이고요.,1,youtube
성남시는,2,youtube
공원,1,youtube
하나,2,youtube
지은,1,youtube
다고요.,1,youtube
천화동인이,1,youtube
막대한,5,youtube
이익을,5,youtube
싹슬이,1,youtube
갔죠.,1,youtube
헌정,1,youtube
사상,1,youtube
민주주의,1,youtube
체제에서,1,youtube
독자,1,youtube
기업이,1,youtube
저렇게,1,youtube
싹쓸이,1,youtube
하고도,1,youtube
멀쩡하다는,1,youtube
정상은,1,youtube
아닌,2,youtube
구조죠.,1,youtube
심지어,1,youtube
모든,4,youtube
과정을,1,youtube
전부,1,youtube
"보면,",1,youtube
특정,2,youtube
누군가를,1,youtube
밀어주려는,1,youtube
누가봐도,2,youtube
보이죠?,1,youtube
요즘은,1,youtube
중학생들도,1,youtube
알던데.,1,youtube
민주당을,1,youtube
지지하던,1,youtube
상식적인,1,youtube
"국민,",1,youtube
법리적인,1,youtube
국민이라면,1,youtube
당연히,2,youtube
이상시,1,youtube
여기는,1,youtube
정상입니다.,1,youtube
지금,2,youtube
법원이,3,youtube
신뢰받고,1,youtube
있는가?,1,youtube
똑같이,3,youtube
적용해,1,youtube
부산엘시티,1,youtube
사업은?,1,youtube
현지는?,1,youtube
ㅆㅂ...그러면,1,youtube
머냐??????????????????ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,youtube
여기서,1,youtube
말하는,1,youtube
공익이란,1,youtube
결탁,1,youtube
공동체의,1,youtube
이익.이니,1,youtube
판결과,1,youtube
모순되는,1,youtube
아니다.,1,youtube
재판받아라.,1,youtube
이것,1,youtube
맞는,1,youtube
분석이라고,1,youtube
생각하나?,1,youtube
기자니마..,1,youtube
개발업자가,1,youtube
먹은거지.,1,youtube
다른,3,youtube
지자체랑,1,youtube
비교해봐...,1,youtube
답답한,1,youtube
기자니마,1,youtube
티비쪼선으로,1,youtube
가는게,1,youtube
적절할줄,1,youtube
천하동인법인,1,youtube
8000,1,youtube
억원은,1,youtube
국가환수되나?,1,youtube
이런,1,youtube
원리면,1,youtube
강원도,1,youtube
레고,1,youtube
랜드사건은,1,youtube
완전,1,youtube
무기,1,youtube
징역,1,youtube
감이네???법원아,1,youtube
정신,2,youtube
차려라...,1,youtube
수괴,1,youtube
이죄멍,1,youtube
속개하라!!!!!,1,youtube
대통령님,1,youtube
그렇게,7,youtube
당당하고,1,youtube
옳은일이시면,1,youtube
재판에서,2,youtube
시시비비,1,youtube
가리세요,1,youtube
내란혐의에는,1,youtube
엄격하면서,1,youtube
자기가,1,youtube
한짓들엔,1,youtube
굉장히,1,youtube
관대하시네요,1,youtube
전국의,1,youtube
지자체장,1,youtube
해야.,1,youtube
개인업자들이,1,youtube
수천억,2,youtube
해처먹었는데,1,youtube
얼어죽을,1,youtube
공익사업아냐,1,youtube
단군,1,youtube
이래,1,youtube
최대,5,youtube
치적이라매,1,youtube
증명해보던지,1,youtube
지지율,1,youtube
99.9퍼,1,youtube
나오겟다,1,youtube
공사는,1,youtube
판사들의,1,youtube
판단하에,1,youtube
하되.,1,youtube
판단에,1,youtube
책임마저도,1,youtube
판사가,2,youtube
지게합시다.,1,youtube
저런,1,youtube
사업에서,1,youtube
시민,1,youtube
이익,6,youtube
챙겨준,1,youtube
지자체,1,youtube
있긴,1,youtube
한가,1,youtube
5천억환수했다는건,1,youtube
그만큼,1,youtube
시민들,1,youtube
등골,1,youtube
먹었다는,1,youtube
건데,1,youtube
건설사가,1,youtube
원주민,1,youtube
헐값에,1,youtube
삥뜯고,1,youtube
성남시에서,1,youtube
초과이익환수조항도,1,youtube
없애서,1,youtube
민간업자들만,1,youtube
폭리를취했는데,1,youtube
모범적사업,1,youtube
오호..!!,1,youtube
초과이익,1,youtube
횡령..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,youtube
킹용,1,youtube
위증교사수괴,1,youtube
김ㅎㅈ를,1,youtube
처벌하라,1,youtube
사법이,1,youtube
개판이니까....,1,youtube
사업이,2,youtube
사업??,1,youtube
였어???,1,youtube
공범사업,1,youtube
였겠지????,1,youtube
공익사업.,1,youtube
저런게,1,youtube
어떨게,1,youtube
사시를,1,youtube
통과했는지,1,youtube
조사해보자,1,youtube
나라,3,youtube
법원은,5,youtube
문제가,2,youtube
크다..사업가들,1,youtube
"사기꾼,전과자",1,youtube
양산한다..지들,1,youtube
먹구살라구..빌려,1,youtube
못갚은것두,1,youtube
사기루,1,youtube
만들어,1,youtube
버리니..보피나..그런.진짜,1,youtube
작정한사기꾼하고,1,youtube
보니,1,youtube
어느시장이,1,youtube
시장처럼,1,youtube
한사람,1,youtube
있나요,1,youtube
"“이재명,",1,youtube
428억,1,youtube
뇌물,1,youtube
약속,1,youtube
승인”,1,youtube
공소장,1,youtube
적시,1,youtube
이렇게,5,youtube
해라,1,youtube
앞뒤,1,youtube
맥락도,1,youtube
모르면서,1,youtube
어쩌구,1,youtube
저쩌구,1,youtube
하는,2,youtube
분들,1,youtube
알아,1,youtube
보세요..이상한,1,youtube
하시지,1,youtube
말고요...정중히,1,youtube
부탁,1,youtube
드립니다,1,youtube
떳떳하면,1,youtube
재판받아서,1,youtube
무죄받으시오.,1,youtube
뒷돈,1,youtube
받은,2,youtube
곽상도도,2,youtube
그러더니,1,youtube
이해하지,1,youtube
못할,1,youtube
판단을,1,youtube
내린다~!!,1,youtube
객기를,1,youtube
부린다는,1,youtube
냄새가,1,youtube
농후하다,1,youtube
사건의,1,youtube
몸통이,1,youtube
“수뇌부”라는,2,youtube
인간이라고,1,youtube
하네요.,1,youtube
자를,1,youtube
법정에,1,youtube
세웁시다!,1,youtube
리통의,1,youtube
혐의도,1,youtube
풀리지,1,youtube
않을까요?,1,youtube
김현지,1,youtube
특검,2,youtube
12개혐의,1,youtube
5개재판,1,youtube
속개하라!!!,1,youtube
자~,1,youtube
드가자~,1,youtube
만배,2,youtube
따라,1,youtube
가자,1,youtube
따까리,1,youtube
800만원으로,1,youtube
100억이상,1,youtube
버는방법,1,youtube
ㅋㅋㅋㅋㅋㅋ,2,youtube
판사님들.,1,youtube
안무서워요?,1,youtube
누구를,1,youtube
위해,2,youtube
있을까,1,youtube
국민의,1,youtube
편에,1,youtube
있지는,1,youtube
않은,1,youtube
핵추진,1,youtube
승인은,1,youtube
잘했는데,1,youtube
받을건,1,youtube
죄가,1,youtube
없으면,1,youtube
임기,1,youtube
끝나고라도,1,youtube
당장,1,youtube
조만간,1,youtube
탄핵,1,youtube
